"Country"	"variable"	"value"
"Australia"	"6_1_1"	24.03
"Austria"	"6_1_1"	41.23
"Belgium"	"6_1_1"	22.82
"Canada"	"6_1_1"	25.19
"Switzerland"	"6_1_1"	NA
"Chile"	"6_1_1"	65.59
"Czech Republic"	"6_1_1"	40.07
"Germany"	"6_1_1"	46.9
"Denmark"	"6_1_1"	23.78
"Spain"	"6_1_1"	39.38
"Estonia"	"6_1_1"	47.16
"Finland"	"6_1_1"	29.89
"France"	"6_1_1"	31.07
"United Kingdom"	"6_1_1"	20.93
"Greece"	"6_1_1"	35.78
"Hungary"	"6_1_1"	NA
"Ireland"	"6_1_1"	24.3
"Israel"	"6_1_1"	32.11
"Italy"	"6_1_1"	32.63
"Japan"	"6_1_1"	69.54
"Korea"	"6_1_1"	27.06
"Lithuania"	"6_1_1"	41.45
"Luxembourg"	"6_1_1"	NA
"Latvia"	"6_1_1"	NA
"Netherlands"	"6_1_1"	17.78
"Norway"	"6_1_1"	31.54
"New Zealand"	"6_1_1"	31.04
"Poland"	"6_1_1"	45.22
"Portugal"	"6_1_1"	NA
"Slovak Republic"	"6_1_1"	26.04
"Slovenia"	"6_1_1"	40.54
"Sweden"	"6_1_1"	34.55
"Turkey"	"6_1_1"	23.33
"United States"	"6_1_1"	22.86
"OECD"	"6_1_1"	34.27
"Australia"	"6_1_2"	34
"Austria"	"6_1_2"	46
"Belgium"	"6_1_2"	35
"Canada"	"6_1_2"	41
"Switzerland"	"6_1_2"	33
"Chile"	"6_1_2"	NA
"Czech Republic"	"6_1_2"	36
"Germany"	"6_1_2"	51
"Denmark"	"6_1_2"	NA
"Spain"	"6_1_2"	24
"Estonia"	"6_1_2"	NA
"Finland"	"6_1_2"	45
"France"	"6_1_2"	29
"United Kingdom"	"6_1_2"	19
"Greece"	"6_1_2"	61
"Hungary"	"6_1_2"	51
"Ireland"	"6_1_2"	18
"Israel"	"6_1_2"	49
"Italy"	"6_1_2"	37
"Japan"	"6_1_2"	89
"Korea"	"6_1_2"	NA
"Lithuania"	"6_1_2"	NA
"Luxembourg"	"6_1_2"	NA
"Latvia"	"6_1_2"	NA
"Netherlands"	"6_1_2"	24
"Norway"	"6_1_2"	25
"New Zealand"	"6_1_2"	44
"Poland"	"6_1_2"	51
"Portugal"	"6_1_2"	46
"Slovak Republic"	"6_1_2"	54
"Slovenia"	"6_1_2"	40
"Sweden"	"6_1_2"	42
"Turkey"	"6_1_2"	66
"United States"	"6_1_2"	46
"OECD"	"6_1_2"	42.07
"Australia"	"6_1_3"	NA
"Austria"	"6_1_3"	50.43
"Belgium"	"6_1_3"	39.86
"Canada"	"6_1_3"	NA
"Switzerland"	"6_1_3"	NA
"Chile"	"6_1_3"	NA
"Czech Republic"	"6_1_3"	66.4
"Germany"	"6_1_3"	52.92
"Denmark"	"6_1_3"	23.79
"Spain"	"6_1_3"	42.3
"Estonia"	"6_1_3"	44.03
"Finland"	"6_1_3"	22.91
"France"	"6_1_3"	35.6
"United Kingdom"	"6_1_3"	34.62
"Greece"	"6_1_3"	18.35
"Hungary"	"6_1_3"	35.18
"Ireland"	"6_1_3"	32.01
"Israel"	"6_1_3"	NA
"Italy"	"6_1_3"	35.46
"Japan"	"6_1_3"	NA
"Korea"	"6_1_3"	NA
"Lithuania"	"6_1_3"	40.05
"Luxembourg"	"6_1_3"	39.04
"Latvia"	"6_1_3"	66.6
"Netherlands"	"6_1_3"	32.71
"Norway"	"6_1_3"	NA
"New Zealand"	"6_1_3"	NA
"Poland"	"6_1_3"	57.17
"Portugal"	"6_1_3"	38.56
"Slovak Republic"	"6_1_3"	54.55
"Slovenia"	"6_1_3"	21.1
"Sweden"	"6_1_3"	35.27
"Turkey"	"6_1_3"	NA
"United States"	"6_1_3"	NA
"OECD"	"6_1_3"	39.95
"Australia"	"6_2_1"	NA
"Austria"	"6_2_1"	52.4
"Belgium"	"6_2_1"	75.9
"Canada"	"6_2_1"	NA
"Switzerland"	"6_2_1"	NA
"Chile"	"6_2_1"	NA
"Czech Republic"	"6_2_1"	71.3
"Germany"	"6_2_1"	62.8
"Denmark"	"6_2_1"	85
"Spain"	"6_2_1"	63.2
"Estonia"	"6_2_1"	61.1
"Finland"	"6_2_1"	78.6
"France"	"6_2_1"	68.4
"United Kingdom"	"6_2_1"	92.3
"Greece"	"6_2_1"	64.3
"Hungary"	"6_2_1"	91.8
"Ireland"	"6_2_1"	75.7
"Israel"	"6_2_1"	NA
"Italy"	"6_2_1"	81.2
"Japan"	"6_2_1"	NA
"Korea"	"6_2_1"	NA
"Lithuania"	"6_2_1"	62.5
"Luxembourg"	"6_2_1"	72.5
"Latvia"	"6_2_1"	46.6
"Netherlands"	"6_2_1"	71.3
"Norway"	"6_2_1"	70.9
"New Zealand"	"6_2_1"	NA
"Poland"	"6_2_1"	40.1
"Portugal"	"6_2_1"	79.3
"Slovak Republic"	"6_2_1"	54
"Slovenia"	"6_2_1"	71.4
"Sweden"	"6_2_1"	72.9
"Turkey"	"6_2_1"	NA
"United States"	"6_2_1"	NA
"OECD"	"6_2_1"	69.4
"Australia"	"6_3_1"	NA
"Austria"	"6_3_1"	94.08
"Belgium"	"6_3_1"	76.87
"Canada"	"6_3_1"	NA
"Switzerland"	"6_3_1"	NA
"Chile"	"6_3_1"	NA
"Czech Republic"	"6_3_1"	63.64
"Germany"	"6_3_1"	84.41
"Denmark"	"6_3_1"	91.22
"Spain"	"6_3_1"	95.79
"Estonia"	"6_3_1"	52.77
"Finland"	"6_3_1"	91.78
"France"	"6_3_1"	94.14
"United Kingdom"	"6_3_1"	98.11
"Greece"	"6_3_1"	67.42
"Hungary"	"6_3_1"	79.61
"Ireland"	"6_3_1"	82.47
"Israel"	"6_3_1"	NA
"Italy"	"6_3_1"	83.32
"Japan"	"6_3_1"	NA
"Korea"	"6_3_1"	NA
"Lithuania"	"6_3_1"	83.79
