"Country"	"variable"	"value"
"Australia"	"7_1_1"	11
"Austria"	"7_1_1"	14.2
"Belgium"	"7_1_1"	18
"Canada"	"7_1_1"	11.9
"Switzerland"	"7_1_1"	NA
"Chile"	"7_1_1"	12.1
"Czech Republic"	"7_1_1"	6.9
"Germany"	"7_1_1"	13.8
"Denmark"	"7_1_1"	9.8
"Spain"	"7_1_1"	8.2
"Estonia"	"7_1_1"	15.4
"Finland"	"7_1_1"	21
"France"	"7_1_1"	3.6
"United Kingdom"	"7_1_1"	8.5
"Greece"	"7_1_1"	10.9
"Hungary"	"7_1_1"	NA
"Ireland"	"7_1_1"	9.9
"Israel"	"7_1_1"	11.4
"Italy"	"7_1_1"	5.3
"Japan"	"7_1_1"	22.3
"Korea"	"7_1_1"	16
"Lithuania"	"7_1_1"	12.5
"Luxembourg"	"7_1_1"	NA
"Latvia"	"7_1_1"	NA
"Netherlands"	"7_1_1"	8.5
"Norway"	"7_1_1"	9.1
"New Zealand"	"7_1_1"	10.8
"Poland"	"7_1_1"	13.1
"Portugal"	"7_1_1"	NA
"Slovak Republic"	"7_1_1"	8.6
"Slovenia"	"7_1_1"	14
"Sweden"	"7_1_1"	11.9
"Turkey"	"7_1_1"	16.1
"United States"	"7_1_1"	11.3
"OECD"	"7_1_1"	11.9
"Australia"	"7_1_2"	11.2
"Austria"	"7_1_2"	11
"Belgium"	"7_1_2"	9.9
"Canada"	"7_1_2"	17.9
"Switzerland"	"7_1_2"	NA
"Chile"	"7_1_2"	29.2
"Czech Republic"	"7_1_2"	9.3
"Germany"	"7_1_2"	11.2
"Denmark"	"7_1_2"	20.9
"Spain"	"7_1_2"	34.7
"Estonia"	"7_1_2"	15.2
"Finland"	"7_1_2"	20.3
"France"	"7_1_2"	6.2
"United Kingdom"	"7_1_2"	14.4
"Greece"	"7_1_2"	16.1
"Hungary"	"7_1_2"	NA
"Ireland"	"7_1_2"	10.8
"Israel"	"7_1_2"	18.7
"Italy"	"7_1_2"	24.7
"Japan"	"7_1_2"	13.8
"Korea"	"7_1_2"	38.6
"Lithuania"	"7_1_2"	44.3
"Luxembourg"	"7_1_2"	NA
"Latvia"	"7_1_2"	NA
"Netherlands"	"7_1_2"	22.3
"Norway"	"7_1_2"	8.9
"New Zealand"	"7_1_2"	16.6
"Poland"	"7_1_2"	43.7
"Portugal"	"7_1_2"	NA
"Slovak Republic"	"7_1_2"	10.1
"Slovenia"	"7_1_2"	8.1
"Sweden"	"7_1_2"	23.7
"Turkey"	"7_1_2"	16.2
"United States"	"7_1_2"	27.4
"OECD"	"7_1_2"	19.1
"Australia"	"7_2_1"	NA
"Austria"	"7_2_1"	37.5
"Belgium"	"7_2_1"	18.7
"Canada"	"7_2_1"	NA
"Switzerland"	"7_2_1"	34.7
"Chile"	"7_2_1"	NA
"Czech Republic"	"7_2_1"	16.8
"Germany"	"7_2_1"	18.9
"Denmark"	"7_2_1"	46.1
"Spain"	"7_2_1"	30.8
"Estonia"	"7_2_1"	30.3
"Finland"	"7_2_1"	42.4
"France"	"7_2_1"	27.4
"United Kingdom"	"7_2_1"	26.7
"Greece"	"7_2_1"	8.6
"Hungary"	"7_2_1"	12.2
"Ireland"	"7_2_1"	20.4
"Israel"	"7_2_1"	NA
"Italy"	"7_2_1"	14.3
"Japan"	"7_2_1"	NA
"Korea"	"7_2_1"	NA
"Lithuania"	"7_2_1"	9.9
"Luxembourg"	"7_2_1"	38
"Latvia"	"7_2_1"	24.9
"Netherlands"	"7_2_1"	40.1
"Norway"	"7_2_1"	35.5
"New Zealand"	"7_2_1"	NA
"Poland"	"7_2_1"	13.6
"Portugal"	"7_2_1"	25.6
"Slovak Republic"	"7_2_1"	21.1
"Slovenia"	"7_2_1"	37.3
"Sweden"	"7_2_1"	38.6
"Turkey"	"7_2_1"	6.1
"United States"	"7_2_1"	NA
"OECD"	"7_2_1"	26
"Australia"	"7_2_2"	NA
"Austria"	"7_2_2"	53.9
"Belgium"	"7_2_2"	35.1
"Canada"	"7_2_2"	NA
"Switzerland"	"7_2_2"	23.1
"Chile"	"7_2_2"	NA
"Czech Republic"	"7_2_2"	23.8
"Germany"	"7_2_2"	24
"Denmark"	"7_2_2"	43.2
"Spain"	"7_2_2"	29.9
"Estonia"	"7_2_2"	NA
"Finland"	"7_2_2"	41.1
"France"	"7_2_2"	32.7
"United Kingdom"	"7_2_2"	33.2
"Greece"	"7_2_2"	7.1
"Hungary"	"7_2_2"	8.8
"Ireland"	"7_2_2"	NA
"Israel"	"7_2_2"	NA
"Italy"	"7_2_2"	NA
"Japan"	"7_2_2"	NA
"Korea"	"7_2_2"	NA
"Lithuania"	"7_2_2"	8.5
"Luxembourg"	"7_2_2"	46.3
"Latvia"	"7_2_2"	23
"Netherlands"	"7_2_2"	49
"Norway"	"7_2_2"	36.2
"New Zealand"	"7_2_2"	NA
"Poland"	"7_2_2"	15.8
"Portugal"	"7_2_2"	25.5
"Slovak Republic"	"7_2_2"	17.8
"Slovenia"	"7_2_2"	24.4
"Sweden"	"7_2_2"	58.2
"Turkey"	"7_2_2"	NA
"United States"	"7_2_2"	NA
"OECD"	"7_2_2"	30
"Australia"	"7_1_1_adj"	11
"Austria"	"7_1_1_adj"	14.2
"Belgium"	"7_1_1_adj"	18
"Canada"	"7_1_1_adj"	11.9
"Switzerland"	"7_1_1_adj"	NA
"Chile"	"7_1_1_adj"	12.1
"Czech Republic"	"7_1_1_adj"	6.9
"Germany"	"7_1_1_adj"	13.8
"Denmark"	"7_1_1_adj"	9.8
"Spain"	"7_1_1_adj"	8.2
"Estonia"	"7_1_1_adj"	15.4
"Finland"	"7_1_1_adj"	21
"France"	"7_1_1_adj"	3.6
"United Kingdom"	"7_1_1_adj"	8.5
"Greece"	"7_1_1_adj"	10.9
