"Country"	"variable"	"value"
"Australia"	"5_1_1"	61.8
"Austria"	"5_1_1"	55.5
"Belgium"	"5_1_1"	59.4
"Canada"	"5_1_1"	61.5
"Switzerland"	"5_1_1"	NA
"Chile"	"5_1_1"	64.4
"Czech Republic"	"5_1_1"	53.7
"Germany"	"5_1_1"	51.2
"Denmark"	"5_1_1"	82.4
"Spain"	"5_1_1"	48.1
"Estonia"	"5_1_1"	34.3
"Finland"	"5_1_1"	53.7
"France"	"5_1_1"	48.8
"United Kingdom"	"5_1_1"	62.2
"Greece"	"5_1_1"	58.5
"Hungary"	"5_1_1"	NA
"Ireland"	"5_1_1"	62.9
"Israel"	"5_1_1"	41.1
"Italy"	"5_1_1"	42.1
"Japan"	"5_1_1"	23.6
"Korea"	"5_1_1"	31.1
"Lithuania"	"5_1_1"	42.3
"Luxembourg"	"5_1_1"	NA
"Latvia"	"5_1_1"	NA
"Netherlands"	"5_1_1"	55.1
"Norway"	"5_1_1"	60.5
"New Zealand"	"5_1_1"	66.3
"Poland"	"5_1_1"	55.1
"Portugal"	"5_1_1"	NA
"Slovak Republic"	"5_1_1"	56.7
"Slovenia"	"5_1_1"	36.7
"Sweden"	"5_1_1"	40.9
"Turkey"	"5_1_1"	47.3
"United States"	"5_1_1"	61.2
"OECD"	"5_1_1"	52.4
"Australia"	"5_1_2"	86
"Austria"	"5_1_2"	85.2
"Belgium"	"5_1_2"	77.1
"Canada"	"5_1_2"	NA
"Switzerland"	"5_1_2"	88.2
"Chile"	"5_1_2"	NA
"Czech Republic"	"5_1_2"	94.2
"Germany"	"5_1_2"	82.5
"Denmark"	"5_1_2"	79.2
"Spain"	"5_1_2"	89.8
"Estonia"	"5_1_2"	87.7
"Finland"	"5_1_2"	87.4
"France"	"5_1_2"	84
"United Kingdom"	"5_1_2"	84.8
"Greece"	"5_1_2"	89
"Hungary"	"5_1_2"	84.7
"Ireland"	"5_1_2"	NA
"Israel"	"5_1_2"	NA
"Italy"	"5_1_2"	92.3
"Japan"	"5_1_2"	NA
"Korea"	"5_1_2"	NA
"Lithuania"	"5_1_2"	96.3
"Luxembourg"	"5_1_2"	88.2
"Latvia"	"5_1_2"	90
"Netherlands"	"5_1_2"	73.3
"Norway"	"5_1_2"	87.1
"New Zealand"	"5_1_2"	NA
"Poland"	"5_1_2"	94.2
"Portugal"	"5_1_2"	87.2
"Slovak Republic"	"5_1_2"	88.7
"Slovenia"	"5_1_2"	88.5
"Sweden"	"5_1_2"	79.9
"Turkey"	"5_1_2"	91.6
"United States"	"5_1_2"	NA
"OECD"	"5_1_2"	86.8
"Australia"	"5_1_3"	NA
"Austria"	"5_1_3"	68.7
"Belgium"	"5_1_3"	74.6
"Canada"	"5_1_3"	NA
"Switzerland"	"5_1_3"	57.5
"Chile"	"5_1_3"	NA
"Czech Republic"	"5_1_3"	66.2
"Germany"	"5_1_3"	50.8
"Denmark"	"5_1_3"	67.4
"Spain"	"5_1_3"	77.7
"Estonia"	"5_1_3"	63.2
"Finland"	"5_1_3"	66.3
"France"	"5_1_3"	63.8
"United Kingdom"	"5_1_3"	73.4
"Greece"	"5_1_3"	66.1
"Hungary"	"5_1_3"	86.9
"Ireland"	"5_1_3"	NA
"Israel"	"5_1_3"	NA
"Italy"	"5_1_3"	81.7
"Japan"	"5_1_3"	NA
"Korea"	"5_1_3"	NA
"Lithuania"	"5_1_3"	70.2
"Luxembourg"	"5_1_3"	70.7
"Latvia"	"5_1_3"	71.9
"Netherlands"	"5_1_3"	34.9
"Norway"	"5_1_3"	59.6
"New Zealand"	"5_1_3"	NA
"Poland"	"5_1_3"	72.3
"Portugal"	"5_1_3"	80.2
"Slovak Republic"	"5_1_3"	62
"Slovenia"	"5_1_3"	81.9
"Sweden"	"5_1_3"	57.9
"Turkey"	"5_1_3"	49.5
"United States"	"5_1_3"	NA
"OECD"	"5_1_3"	67
"Australia"	"5_1_4"	7.27
"Austria"	"5_1_4"	4.1
"Belgium"	"5_1_4"	6.96
"Canada"	"5_1_4"	9.61
"Switzerland"	"5_1_4"	NA
"Chile"	"5_1_4"	20.28
"Czech Republic"	"5_1_4"	8.65
"Germany"	"5_1_4"	7.9
"Denmark"	"5_1_4"	3.32
"Spain"	"5_1_4"	9.13
"Estonia"	"5_1_4"	15.9
"Finland"	"5_1_4"	5.68
"France"	"5_1_4"	7.01
"United Kingdom"	"5_1_4"	10.65
"Greece"	"5_1_4"	1.72
"Hungary"	"5_1_4"	NA
"Ireland"	"5_1_4"	11.16
"Israel"	"5_1_4"	5.38
"Italy"	"5_1_4"	3.93
"Japan"	"5_1_4"	10.45
"Korea"	"5_1_4"	8.67
"Lithuania"	"5_1_4"	16.17
"Luxembourg"	"5_1_4"	NA
"Latvia"	"5_1_4"	NA
"Netherlands"	"5_1_4"	5.79
"Norway"	"5_1_4"	4.21
"New Zealand"	"5_1_4"	6.97
"Poland"	"5_1_4"	14.73
"Portugal"	"5_1_4"	NA
"Slovak Republic"	"5_1_4"	10.09
"Slovenia"	"5_1_4"	6.08
"Sweden"	"5_1_4"	5.71
"Turkey"	"5_1_4"	9.92
"United States"	"5_1_4"	8.17
"OECD"	"5_1_4"	8.5
"Australia"	"5_1_1_adj"	61.8
"Austria"	"5_1_1_adj"	55.5
"Belgium"	"5_1_1_adj"	59.4
"Canada"	"5_1_1_adj"	61.5
"Switzerland"	"5_1_1_adj"	NA
"Chile"	"5_1_1_adj"	64.4
"Czech Republic"	"5_1_1_adj"	53.7
"Germany"	"5_1_1_adj"	51.2
"Denmark"	"5_1_1_adj"	82.4
"Spain"	"5_1_1_adj"	48.1
"Estonia"	"5_1_1_adj"	34.3
"Finland"	"5_1_1_adj"	53.7
"France"	"5_1_1_adj"	48.8
"United Kingdom"	"5_1_1_adj"	62.2
"Greece"	"5_1_1_adj"	58.5
"Hungary"	"5_1_1_adj"	NA
"Ireland"	"5_1_1_adj"	62.9
"Israel"	"5_1_1_adj"	41.1
"Italy"	"5_1_1_adj"	42.1
"Japan"	"5_1_1_adj"	23.6
"Korea"	"5_1_1_adj"	31.1
"Lithuania"	"5_1_1_adj"	42.3
"Luxembourg"	"5_1_1_adj"	NA
"Latvia"	"5_1_1_adj"	NA
"Netherlands"	"5_1_1_adj"	55.1
"Norway"	"5_1_1_adj"	60.5
"New Zealand"	"5_1_1_adj"	66.3
"Poland"	"5_1_1_adj"	55.1
"Portugal"	"5_1_1_adj"	NA
"Slovak Republic"	"5_1_1_adj"	56.7
"Slovenia"	"5_1_1_adj"	36.7
"Sweden"	"5_1_1_adj"	40.9
"Turkey"	"5_1_1_adj"	47.3
"United States"	"5_1_1_adj"	61.2
"Australia"	"5_1_2_adj"	86
"Austria"	"5_1_2_adj"	85.2
"Belgium"	"5_1_2_adj"	77.1
"Canada"	"5_1_2_adj"	NA
"Switzerland"	"5_1_2_adj"	88.2
"Chile"	"5_1_2_adj"	NA
"Czech Republic"	"5_1_2_adj"	94.2
"Germany"	"5_1_2_adj"	82.5
"Denmark"	"5_1_2_adj"	79.2
"Spain"	"5_1_2_adj"	89.8
"Estonia"	"5_1_2_adj"	87.7
"Finland"	"5_1_2_adj"	87.4
"France"	"5_1_2_adj"	84
"United Kingdom"	"5_1_2_adj"	84.8
"Greece"	"5_1_2_adj"	89
"Hungary"	"5_1_2_adj"	84.7
"Ireland"	"5_1_2_adj"	NA
"Israel"	"5_1_2_adj"	NA
"Italy"	"5_1_2_adj"	92.3
"Japan"	"5_1_2_adj"	NA
"Korea"	"5_1_2_adj"	NA
"Lithuania"	"5_1_2_adj"	96.3
"Luxembourg"	"5_1_2_adj"	88.2
"Latvia"	"5_1_2_adj"	90
"Netherlands"	"5_1_2_adj"	73.3
"Norway"	"5_1_2_adj"	87.1
"New Zealand"	"5_1_2_adj"	NA
"Poland"	"5_1_2_adj"	94.2
"Portugal"	"5_1_2_adj"	87.2
"Slovak Republic"	"5_1_2_adj"	88.7
"Slovenia"	"5_1_2_adj"	88.5
"Sweden"	"5_1_2_adj"	79.9
"Turkey"	"5_1_2_adj"	91.6
"United States"	"5_1_2_adj"	NA
"Australia"	"5_1_3_adj"	NA
"Austria"	"5_1_3_adj"	68.7
"Belgium"	"5_1_3_adj"	74.6
"Canada"	"5_1_3_adj"	NA
"Switzerland"	"5_1_3_adj"	57.5
"Chile"	"5_1_3_adj"	NA
"Czech Republic"	"5_1_3_adj"	66.2
"Germany"	"5_1_3_adj"	50.8
"Denmark"	"5_1_3_adj"	67.4
"Spain"	"5_1_3_adj"	77.7
"Estonia"	"5_1_3_adj"	63.2
"Finland"	"5_1_3_adj"	66.3
"France"	"5_1_3_adj"	63.8
"United Kingdom"	"5_1_3_adj"	73.4
"Greece"	"5_1_3_adj"	66.1
"Hungary"	"5_1_3_adj"	86.9
"Ireland"	"5_1_3_adj"	NA
"Israel"	"5_1_3_adj"	NA
"Italy"	"5_1_3_adj"	81.7
"Japan"	"5_1_3_adj"	NA
"Korea"	"5_1_3_adj"	NA
"Lithuania"	"5_1_3_adj"	70.2
"Luxembourg"	"5_1_3_adj"	70.7
"Latvia"	"5_1_3_adj"	71.9
"Netherlands"	"5_1_3_adj"	34.9
"Norway"	"5_1_3_adj"	59.6
"New Zealand"	"5_1_3_adj"	NA
"Poland"	"5_1_3_adj"	72.3
"Portugal"	"5_1_3_adj"	80.2
"Slovak Republic"	"5_1_3_adj"	62
"Slovenia"	"5_1_3_adj"	81.9
"Sweden"	"5_1_3_adj"	57.9
"Turkey"	"5_1_3_adj"	49.5
"United States"	"5_1_3_adj"	NA
"Australia"	"5_1_4_adj"	7.2685
"Austria"	"5_1_4_adj"	4.0977
"Belgium"	"5_1_4_adj"	6.9583
"Canada"	"5_1_4_adj"	9.6061
"Switzerland"	"5_1_4_adj"	NA
"Chile"	"5_1_4_adj"	20.2753
"Czech Republic"	"5_1_4_adj"	8.6509
"Germany"	"5_1_4_adj"	7.9011
"Denmark"	"5_1_4_adj"	3.3247
"Spain"	"5_1_4_adj"	9.1273
"Estonia"	"5_1_4_adj"	15.9044
"Finland"	"5_1_4_adj"	5.6833
"France"	"5_1_4_adj"	7.0069
"United Kingdom"	"5_1_4_adj"	10.6498
"Greece"	"5_1_4_adj"	1.7235
"Hungary"	"5_1_4_adj"	NA
"Ireland"	"5_1_4_adj"	11.1633
"Israel"	"5_1_4_adj"	5.3815
"Italy"	"5_1_4_adj"	3.9315
"Japan"	"5_1_4_adj"	10.4536
