"Country"	"variable"	"value"
"Australia"	"2_1_1"	0.01
"Austria"	"2_1_1"	0.46
"Belgium"	"2_1_1"	0.16
"Canada"	"2_1_1"	0.07
"Switzerland"	"2_1_1"	0.18
"Chile"	"2_1_1"	0.08
"Czech Republic"	"2_1_1"	0.01
"Germany"	"2_1_1"	0.19
"Denmark"	"2_1_1"	0.6
"Spain"	"2_1_1"	0.12
"Estonia"	"2_1_1"	0.08
"Finland"	"2_1_1"	0.48
"France"	"2_1_1"	0.37
"United Kingdom"	"2_1_1"	0.02
"Greece"	"2_1_1"	0.09
"Hungary"	"2_1_1"	0.01
"Ireland"	"2_1_1"	0.23
"Israel"	"2_1_1"	0.06
"Italy"	"2_1_1"	0.17
"Japan"	"2_1_1"	0.01
"Korea"	"2_1_1"	0.04
"Lithuania"	"2_1_1"	0.07
"Luxembourg"	"2_1_1"	0.18
"Latvia"	"2_1_1"	0.08
"Netherlands"	"2_1_1"	0.07
"Norway"	"2_1_1"	0.12
"New Zealand"	"2_1_1"	0.1
"Poland"	"2_1_1"	0.01
"Portugal"	"2_1_1"	0.27
"Slovak Republic"	"2_1_1"	0.01
"Slovenia"	"2_1_1"	0.01
"Sweden"	"2_1_1"	0.13
"Turkey"	"2_1_1"	NA
"United States"	"2_1_1"	0.03
"Australia"	"2_1_2"	1
"Austria"	"2_1_2"	2.82
"Belgium"	"2_1_2"	1.17
"Canada"	"2_1_2"	4.37
"Switzerland"	"2_1_2"	3.73
"Chile"	"2_1_2"	NA
"Czech Republic"	"2_1_2"	4.08
"Germany"	"2_1_2"	1.45
"Denmark"	"2_1_2"	4.62
"Spain"	"2_1_2"	1.57
"Estonia"	"2_1_2"	3.43
"Finland"	"2_1_2"	3.22
"France"	"2_1_2"	3.55
"United Kingdom"	"2_1_2"	NA
"Greece"	"2_1_2"	6.37
"Hungary"	"2_1_2"	0.52
"Ireland"	"2_1_2"	2.1
"Israel"	"2_1_2"	0.79
"Italy"	"2_1_2"	1.04
"Japan"	"2_1_2"	NA
"Korea"	"2_1_2"	NA
"Lithuania"	"2_1_2"	4
"Luxembourg"	"2_1_2"	2.19
"Latvia"	"2_1_2"	2.78
"Netherlands"	"2_1_2"	0.83
"Norway"	"2_1_2"	3.3
"New Zealand"	"2_1_2"	1.41
"Poland"	"2_1_2"	7.13
"Portugal"	"2_1_2"	2.16
"Slovak Republic"	"2_1_2"	1.89
"Slovenia"	"2_1_2"	2.18
"Sweden"	"2_1_2"	3.21
