"Country"	"variable"	"value"
"Australia"	"5_1_1"	NA
"Austria"	"5_1_1"	35.9
"Belgium"	"5_1_1"	48
"Canada"	"5_1_1"	NA
"Switzerland"	"5_1_1"	NA
"Chile"	"5_1_1"	NA
"Czech Republic"	"5_1_1"	46.3
"Germany"	"5_1_1"	40.1
"Denmark"	"5_1_1"	33.5
"Spain"	"5_1_1"	51.8
"Estonia"	"5_1_1"	45.7
"Finland"	"5_1_1"	51.4
"France"	"5_1_1"	94.8
"United Kingdom"	"5_1_1"	66.3
"Greece"	"5_1_1"	69.4
"Hungary"	"5_1_1"	39.3
"Ireland"	"5_1_1"	56.1
"Israel"	"5_1_1"	NA
"Italy"	"5_1_1"	52.5
"Japan"	"5_1_1"	NA
"Korea"	"5_1_1"	NA
"Lithuania"	"5_1_1"	46.1
"Luxembourg"	"5_1_1"	50
"Latvia"	"5_1_1"	29.5
"Netherlands"	"5_1_1"	87.4
"Norway"	"5_1_1"	48.3
"New Zealand"	"5_1_1"	NA
"Poland"	"5_1_1"	32.3
"Portugal"	"5_1_1"	57
"Slovak Republic"	"5_1_1"	46.9
"Slovenia"	"5_1_1"	39.7
"Sweden"	"5_1_1"	NA
"Turkey"	"5_1_1"	NA
"United States"	"5_1_1"	NA
"Australia"	"5_1_2"	NA
"Austria"	"5_1_2"	57.4
"Belgium"	"5_1_2"	30.5
"Canada"	"5_1_2"	NA
"Switzerland"	"5_1_2"	NA
"Chile"	"5_1_2"	NA
"Czech Republic"	"5_1_2"	35.8
"Germany"	"5_1_2"	25.1
"Denmark"	"5_1_2"	42.7
"Spain"	"5_1_2"	55.9
"Estonia"	"5_1_2"	58.1
"Finland"	"5_1_2"	45.7
"France"	"5_1_2"	23.8
"United Kingdom"	"5_1_2"	35
"Greece"	"5_1_2"	53.7
"Hungary"	"5_1_2"	28.6
"Ireland"	"5_1_2"	NA
"Israel"	"5_1_2"	NA
"Italy"	"5_1_2"	35
"Japan"	"5_1_2"	NA
"Korea"	"5_1_2"	NA
"Lithuania"	"5_1_2"	72.1
"Luxembourg"	"5_1_2"	43
"Latvia"	"5_1_2"	62
"Netherlands"	"5_1_2"	54.5
"Norway"	"5_1_2"	33.7
"New Zealand"	"5_1_2"	NA
"Poland"	"5_1_2"	68.8
"Portugal"	"5_1_2"	61.9
"Slovak Republic"	"5_1_2"	37.5
"Slovenia"	"5_1_2"	60
"Sweden"	"5_1_2"	33.2
"Turkey"	"5_1_2"	48.8
"United States"	"5_1_2"	NA
"Australia"	"5_2_1"	61.8
"Austria"	"5_2_1"	55.5
"Belgium"	"5_2_1"	59.4
"Canada"	"5_2_1"	61.5
"Switzerland"	"5_2_1"	NA
"Chile"	"5_2_1"	64.4
"Czech Republic"	"5_2_1"	53.7
"Germany"	"5_2_1"	51.2
"Denmark"	"5_2_1"	82.4
"Spain"	"5_2_1"	48.1
"Estonia"	"5_2_1"	34.3
"Finland"	"5_2_1"	53.7
"France"	"5_2_1"	48.8
"United Kingdom"	"5_2_1"	62.2
"Greece"	"5_2_1"	58.5
"Hungary"	"5_2_1"	NA
"Ireland"	"5_2_1"	62.9
"Israel"	"5_2_1"	41.1
"Italy"	"5_2_1"	42.1
"Japan"	"5_2_1"	23.6
"Korea"	"5_2_1"	31.1
"Lithuania"	"5_2_1"	42.3
"Luxembourg"	"5_2_1"	NA
"Latvia"	"5_2_1"	NA
"Netherlands"	"5_2_1"	55.1
"Norway"	"5_2_1"	60.5
"New Zealand"	"5_2_1"	66.3
"Poland"	"5_2_1"	55.1
"Portugal"	"5_2_1"	NA
"Slovak Republic"	"5_2_1"	56.7
"Slovenia"	"5_2_1"	36.7
"Sweden"	"5_2_1"	40.9
"Turkey"	"5_2_1"	47.3
"United States"	"5_2_1"	61.2
"Australia"	"5_2_2"	84.9
"Austria"	"5_2_2"	85.2
"Belgium"	"5_2_2"	77.1
"Canada"	"5_2_2"	NA
"Switzerland"	"5_2_2"	88.2
"Chile"	"5_2_2"	NA
"Czech Republic"	"5_2_2"	94.2
"Germany"	"5_2_2"	82.5
"Denmark"	"5_2_2"	79.2
"Spain"	"5_2_2"	89.8
"Estonia"	"5_2_2"	87.7
"Finland"	"5_2_2"	87.4
"France"	"5_2_2"	84
"United Kingdom"	"5_2_2"	84.8
"Greece"	"5_2_2"	89
"Hungary"	"5_2_2"	84.7
"Ireland"	"5_2_2"	NA
"Israel"	"5_2_2"	NA
"Italy"	"5_2_2"	92.3
"Japan"	"5_2_2"	NA
"Korea"	"5_2_2"	NA
"Lithuania"	"5_2_2"	96.3
"Luxembourg"	"5_2_2"	88.2
"Latvia"	"5_2_2"	90
"Netherlands"	"5_2_2"	73.3
"Norway"	"5_2_2"	87.1
"New Zealand"	"5_2_2"	NA
"Poland"	"5_2_2"	94.2
"Portugal"	"5_2_2"	87.2
"Slovak Republic"	"5_2_2"	88.7
"Slovenia"	"5_2_2"	88.5
"Sweden"	"5_2_2"	79.9
"Turkey"	"5_2_2"	91.6
"United States"	"5_2_2"	NA
"Australia"	"5_2_3"	NA
"Austria"	"5_2_3"	68.7
"Belgium"	"5_2_3"	74.6
"Canada"	"5_2_3"	NA
"Switzerland"	"5_2_3"	57.5
"Chile"	"5_2_3"	NA
"Czech Republic"	"5_2_3"	66.2
"Germany"	"5_2_3"	50.8
"Denmark"	"5_2_3"	67.4
"Spain"	"5_2_3"	77.7
"Estonia"	"5_2_3"	63.2
"Finland"	"5_2_3"	66.3
"France"	"5_2_3"	63.8
"United Kingdom"	"5_2_3"	73.4
"Greece"	"5_2_3"	66.1
"Hungary"	"5_2_3"	86.9
"Ireland"	"5_2_3"	NA
"Israel"	"5_2_3"	NA
"Italy"	"5_2_3"	81.7
"Japan"	"5_2_3"	NA
"Korea"	"5_2_3"	NA
"Lithuania"	"5_2_3"	70.2
"Luxembourg"	"5_2_3"	70.7
"Latvia"	"5_2_3"	71.9
"Netherlands"	"5_2_3"	34.9
"Norway"	"5_2_3"	59.6
"New Zealand"	"5_2_3"	NA
"Poland"	"5_2_3"	72.3
"Portugal"	"5_2_3"	80.2
"Slovak Republic"	"5_2_3"	62
"Slovenia"	"5_2_3"	81.9
"Sweden"	"5_2_3"	57.9
"Turkey"	"5_2_3"	49.5
"United States"	"5_2_3"	NA
"Australia"	"5_2_4"	7.27
"Austria"	"5_2_4"	4.1
"Belgium"	"5_2_4"	6.96
"Canada"	"5_2_4"	9.61
"Switzerland"	"5_2_4"	NA
"Chile"	"5_2_4"	20.28
"Czech Republic"	"5_2_4"	8.65
"Germany"	"5_2_4"	7.9
"Denmark"	"5_2_4"	3.32
