Country	3_1_1	3_1_2	3_1_3	3_2_1	3_2_2	3_3_3	3_4_3	3_1_1_adj	3_1_2_adj	3_1_3_adj	3_2_1_adj	3_2_2_adj	3_3_3_adj	3_4_3_adj	3_1_1_norm	3_1_2_norm	3_1_3_norm	3_2_1_norm	3_2_2_norm	3_3_3_norm	3_4_3_norm	EMP	IND	Total	Ranking
Australia				48.4	71.6	36.0	-40.1				48.4	71.6	36.0	-40.1				0.771589923	0.85598051	0.75	0		0.594392608	0.594392608	12
Austria	88.1	36.6	8.6	39.8	63.1	40.0	50.9	88.1	36.6	8.6	39.8	63.1	40.0	50.9	0.849104859	0.273597811	0.198725871	0.565930157	0.641172721	0.916666667	0.526328317	0.440476181	0.662524466	0.551500323	15
Belgium	83.9	49.4	34.2	39.0	64.0	24.0	21.1	83.9	49.4	34.2	39.0	64.0	24.0	21.1	0.795396419	0.44870041	0.460705064	0.545906002	0.663314742	0.25	0.353550588	0.568267298	0.453192833	0.510730065	19
Canada				48.7	71.1	32.0					48.7	71.1	32.0					0.777565237	0.843328869	0.583333333			0.73474248	0.73474248	2
Switzerland							51.6							51.6							0.529941721				
Chile	76.8			39.4	77.4	24.0		76.8			39.4	77.4	24.0		0.704603581			0.555016827	1	0.25			0.601672276	0.601672276	11
Czech Republic	90.6	89.7		42.2	60.7	25.0	18.7	90.6	89.7		42.2	60.7	25.0	18.7	0.881074169	1		0.621233187	0.579862656	0.291666667	0.340128884	0.940537084	0.458222848	0.699379966	3
Germany	77.3	38.3	11.2	45.7	61.6	32.0	12.4	77.3	38.3	11.2	45.7	61.6	32.0	12.4	0.710997442	0.296853625	0.225239227	0.70585219	0.604209265	0.583333333	0.303343301	0.411030098	0.549184522	0.48010731	22
Denmark	86.6	27.2	1.5	58.0	65.3	42.0	9.4	86.6	27.2	1.5	58.0	65.3	42.0	9.4	0.829923274	0.14500684	0.126017667	1	0.696198509	1	0.286346722	0.366982594	0.745636308	0.556309451	14
Spain	86.0	39.7	82.6	35.3	73.7	31.0	63.1	86.0	39.7	82.6	35.3	73.7	31.0	63.1	0.822250639	0.316005472	0.955332464	0.457997746	0.90906011	0.541666667	0.59682618	0.697862859	0.626387676	0.662125267	6
Estonia	86.1	20.9	29.3	41.7	61.8	32.0	-1.9	86.1	20.9	29.3	41.7	61.8	32.0	-1.9	0.823529412	0.058823529	0.409956428	0.609669655	0.608441326	0.583333333	0.220717789	0.43076979	0.505540526	0.468155158	24
Finland	83.1	44.3	8.3	55.3	71.1	32.0	-5.0	83.1	44.3	8.3	55.3	71.1	32.0	-5.0	0.78516624	0.378932969	0.195788595	0.935745948	0.842983334	0.583333333	0.20279673	0.453295935	0.641214836	0.547255385	16
France	78.9	31.7	6.9	31.6	67.6	32.0		78.9	31.7	6.9	31.6	67.6	32.0		0.731457801	0.206566347	0.181122436	0.367581068	0.753625649	0.583333333		0.373048861	0.568180017	0.470614439	23
