"Country"	"variable"	"value"
"Australia"	"4_1_1"	"-36.3"
"Austria"	"4_1_1"	"-67.1"
"Belgium"	"4_1_1"	"-62.2"
"Canada"	"4_1_1"	"-43.1"
"Switzerland"	"4_1_1"	NA
"Chile"	"4_1_1"	"-48.6"
"Czechia"	"4_1_1"	"-53.5"
"Germany"	"4_1_1"	"-45.8"
"Denmark"	"4_1_1"	"-34.5"
"Spain"	"4_1_1"	"-58.4"
"Estonia"	"4_1_1"	"-39.4"
"Finland"	"4_1_1"	"-44.2"
"France"	"4_1_1"	"-66.2"
"United Kingdom"	"4_1_1"	"-41.9"
"Greece"	"4_1_1"	"-78"
"Hungary"	"4_1_1"	NA
"Ireland"	"4_1_1"	"-47.4"
"Israel"	"4_1_1"	"-28.4"
"Italy"	"4_1_1"	"-58.5"
"Japan"	"4_1_1"	"-44.6"
"Republic of Korea"	"4_1_1"	NA
"Lithuania"	"4_1_1"	"-43.2"
"Luxembourg"	"4_1_1"	NA
"Latvia"	"4_1_1"	NA
"Netherlands"	"4_1_1"	"-45.1"
"Norway"	"4_1_1"	"-40.8"
"New Zealand"	"4_1_1"	"-23.1"
"Poland"	"4_1_1"	"-66.1"
"Portugal"	"4_1_1"	NA
"Slovakia"	"4_1_1"	NA
"Slovenia"	"4_1_1"	"-67.7"
"Sweden"	"4_1_1"	"-29.3"
"Turkey"	"4_1_1"	"-87.9"
"United States of America"	"4_1_1"	"-24.3"
"Australia"	"4_1_2"	"-5.5"
"Austria"	"4_1_2"	"-12.3"
"Belgium"	"4_1_2"	"-13.8"
"Canada"	"4_1_2"	"-6.4"
"Switzerland"	"4_1_2"	NA
"Chile"	"4_1_2"	"-32.1"
"Czechia"	"4_1_2"	"-28"
"Germany"	"4_1_2"	"-16.6"
"Denmark"	"4_1_2"	"1"
"Spain"	"4_1_2"	"-13.9"
"Estonia"	"4_1_2"	"12.1"
"Finland"	"4_1_2"	"1.1"
"France"	"4_1_2"	"-8.5"
"United Kingdom"	"4_1_2"	"-4.5"
"Greece"	"4_1_2"	"-15.2"
"Hungary"	"4_1_2"	NA
"Ireland"	"4_1_2"	"-12.3"
"Israel"	"4_1_2"	"-6.1"
"Italy"	"4_1_2"	"-14.7"
"Japan"	"4_1_2"	"-32.6"
"Republic of Korea"	"4_1_2"	NA
"Lithuania"	"4_1_2"	"18.5"
"Luxembourg"	"4_1_2"	NA
"Latvia"	"4_1_2"	NA
"Netherlands"	"4_1_2"	"-13.1"
"Norway"	"4_1_2"	"1.6"
"New Zealand"	"4_1_2"	"-6"
"Poland"	"4_1_2"	"-10.2"
"Portugal"	"4_1_2"	NA
"Slovakia"	"4_1_2"	NA
"Slovenia"	"4_1_2"	"-4.7"
"Sweden"	"4_1_2"	"-1.4"
"Turkey"	"4_1_2"	"-53.5"
"United States of America"	"4_1_2"	"-8.5"
"Australia"	"4_1_3"	"-53.5"
"Austria"	"4_1_3"	"-55.9"
"Belgium"	"4_1_3"	"-62.5"
"Canada"	"4_1_3"	"-51.9"
"Switzerland"	"4_1_3"	NA
"Chile"	"4_1_3"	"-47"
"Czechia"	"4_1_3"	"-43.8"
"Germany"	"4_1_3"	"-57.9"
"Denmark"	"4_1_3"	"-44.7"
